Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3105.0.65.001 Australian Historical Population Statistics, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 18 September 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.2 Population(a)(b)(c) by sex, states and territories, 30 June, 1901 onwards",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Males,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,713414,728613,742240,756401,773677,791555,813030,826749,836505,854495,866152,917145,958058,986756,978144,960309,950316,972172,1013277,1056564,1071739,1097542,1121611,1143385,1169327,1194399,1224872,1254807,1275877,1286879,1297253,1308166,1318471,1328268,1339172,1347970,1360640,1372788,1385051,1396989,1403840,1417563,1430972,1443478,1457500,1471066,1492211,1507895,1549199,1602664,1647299,1681469,1703078,1720860,1755325,1789803,1826175,1858002,1892354,1929082,1973700,2004264,2034506,2062692,2096037,2126652,2154753,2186929,2227939,2268665,2373784,2407712,2428527,2452418,2467784,2476978,2496098,2519784,2546874,2576617,2608351,2643527,2668049,2692083,2723253,2756990,2798066,2842852,2876807,2905892,2936262,2964164,2981014,3004486,3033790,3066993,3099735,3128919,3163238,3199392,3241835,3265784,3283709,3297397,3316494,3339035,3387138,3445097,3502936,3548107,3585109
Vic.,604272,603923,600082,596203,595460,597378,602736,606736,619908,632285,657250,676576,694192,713165,706458,678939,666383,674441,715313,744327,757244,776755,798733,815481,833885,845195,862334,873057,881354,888591,894820,897718,903244,906374,908747,911638,914947,920832,927021,938945,957258,972393,976846,983343,991049,999191,1013867,1030563,1056958,1097556,1136995,1177296,1202936,1231099,1266616,1307253,1338297,1367970,1400192,1437353,1474536,1498161,1526344,1558386,1587580,1614240,1640118,1664208,1693941,1723210,1799486,1828978,1852056,1875820,1890499,1900488,1911900,1922930,1932332,1944400,1958717,1981619,2003140,2023349,2045027,2065739,2089786,2116566,2144305,2172635,2192113,2205266,2209272,2212863,2223681,2240199,2254670,2271763,2292656,2317083,2345980,2374296,2403965,2431958,2464587,2502687,2551093,2603921,2663347,2705597,2740959
Qld,279644,284338,285192,289246,291403,294306,295844,303064,311909,324426,336741,345670,359345,371919,376769,360896,354034,362145,376676,396700,404484,411026,420894,429680,442381,452895,458986,466963,473406,479476,486907,492172,497217,502066,507039,513942,519478,525113,531823,535816,539609,537540,540266,545949,552935,559444,567471,580541,595284,615167,631966,647174,662945,676252,692585,708753,723752,735235,749085,763266,779265,789507,802426,818225,834964,849390,861483,875227,891469,905611,932976,956959,984081,1012648,1033697,1053535,1071295,1091582,1112774,1138297,1178447,1219369,1248666,1269559,1293238,1320568,1344029,1374106,1418103,1453511,1483751,1514708,1551486,1586714,1622424,1655239,1678969,1701284,1724044,1749554,1777785,1820884,1865011,1909221,1954193,1999858,2052323,2107284,2162727,2199403,2233959
SA,178878,176685,175766,176186,178747,182260,184420,190516,196062,199929,208949,216455,224222,225765,223013,214142,210395,215617,230307,243402,249281,251797,256661,264047,271590,280911,287031,289582,288779,288303,288902,289832,290962,292088,292778,294008,294368,296208,297945,298707,298156,302108,304457,307202,310813,314516,320031,329923,340632,357669,369590,381453,392694,403903,415338,430712,442909,453614,464787,477609,491406,498240,509324,522458,537051,550196,556872,562254,570329,579011,597572,605054,612069,618862,630495,635152,640546,644711,646249,650221,653940,660066,667942,675233,681229,687764,692398,697670,704437,710687,717622,721797,722836,724513,725060,726586,729706,733200,736713,740009,743153,747076,751160,754895,759872,766432,775561,784833,795656,805365,811845
WA,115391,125513,132595,140277,146013,148997,147620,148162,150541,154509,164726,172545,177436,181718,176429,165882,157392,158064,167818,176425,177558,181774,187599,195130,200126,204357,211119,221139,228605,232222,232122,232779,233937,235675,237777,240201,242383,245723,248402,248888,248633,247717,245222,247837,250509,252860,258076,264399,273421,286540,298714,309749,320352,330358,338075,346762,352424,357425,363019,367685,380740,390168,401731,412103,421017,432569,449174,468231,489237,508612,539332,553145,562258,575430,588629,599959,612145,623262,632032,641935,657249,676892,691681,702455,715642,736131,754718,774200,795463,812372,822930,834093,844298,857338,873114,889050,903484,916920,930062,941509,954089,966393,979648,995080,1012773,1034567,1061703,1094894,1129438,1154064,1185050
Tas.,89380,90483,93971,94961,94932,94130,94046,95192,97018,97026,96208,96686,99483,100016,99027,96405,94343,97223,102567,106214,107198,108118,108289,108254,107561,106477,106163,107769,109109,111148,112926,114403,115097,115388,116121,116831,118386,119313,120766,121911,121296,121677,122248,123709,125079,126685,129244,132415,136068,140339,145279,151100,155161,157129,159861,162196,165940,169123,172097,174379,177628,179966,182439,184074,185789,187391,189195,191288,193888,195280,199915,200926,202119,203417,205265,206193,207545,208859,210314,211000,212565,213679,215090,217409,219791,221659,222879,223754,225708,229256,231466,232736,233577,234162,234477,234878,234449,233625,233334,233229,233388,233631,235958,238169,239698,241227,243659,246919,250255,252953,254790
NT,4144,3923,3715,3548,3442,3308,3172,3029,2945,2833,2738,2740,3030,2902,3578,3792,3928,4009,3612,2991,2856,2705,2751,2767,2939,2977,3453,3435,3368,3695,3568,3462,3378,3421,3502,3598,3705,3924,4252,5670,7323,6882,7226,7224,7248,7230,7378,8122,8728,9547,10073,9973,10101,10288,11431,12021,12675,13163,14291,15221,25052,25845,27099,28595,29818,31159,34312,37671,40877,44307,47750,50870,53250,56045,51481,54096,56828,60005,61991,63219,65393,69388,72336,75666,78999,81720,83652,83903,84745,85858,86629,88274,90069,91789,94333,97071,99683,101417,103046,104479,105554,105990,105340,105502,106910,108502,111063,114771,118321,120516,121483
ACT(d),,,,,,,,,,,1011,1112,1570,1740,1572,1596,1427,1356,1298,1237,1547,1780,2243,2706,3317,4311,4840,4616,4781,4940,4708,4576,4805,5102,5176,5578,5977,6286,6901,7655,8374,7845,7148,7595,8044,8531,9092,11371,12268,13398,13826,14375,15374,16229,17089,18542,20102,22046,24410,27690,30858,34716,38421,41782,46095,49991,53414,57427,62511,67281,77121,81509,88488,95028,101331,105633,108345,110160,111196,112371,113605,116374,119442,122458,125549,129616,132727,135894,138021,141058,144636,147218,149428,150330,151968,153635,153940,154547,155599,156815,158666,160138,161568,162487,163832,165814,169640,172707,176325,179860,182996
Australia(e),1985123,2013478,2033561,2056822,2083674,2111934,2140868,2173448,2214888,2265503,2333775,2428929,2517336,2583981,2564990,2481961,2438218,2485027,2610868,2727860,2771907,2831497,2898781,2961450,3031126,3091522,3158798,3221368,3265279,3295254,3321206,3343108,3367111,3388382,3410312,3433766,3459884,3490187,3522161,3554581,3584489,3613725,3634385,3666337,3703177,3739523,3797370,3865229,3972558,4122880,4253742,4372589,4462641,4546118,4656320,4776042,4882274,4976578,5080235,5192285,5333185,5420867,5522290,5628315,5738351,5841588,5939321,6043235,6170191,6291977,6567936,6685153,6782848,6889668,6969181,7032034,7104702,7181293,7253762,7338060,7448267,7580914,7686346,7778212,7882728,8000187,8118255,8248945,8387589,8511269,8615409,8708256,8781980,8863677,8960430,9065324,9156177,9243143,9340109,9443465,9561826,9675483,9787597,9895951,10019633,10159424,10353636,10572045,10800797,10967831,11118234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,648322,660472,671528,682579,696621,712711,729812,743963,760199,779689,794226,825744,859805,885271,910935,929574,953272,968956,983082,1011125,1031649,1056824,1078759,1099069,1123489,1149269,1177069,1204045,1226752,1242647,1257226,1270048,1282376,1293508,1305880,1317972,1332678,1347519,1363342,1379962,1394440,1411134,1426731,1443096,1460878,1473634,1492627,1507868,1543422,1590708,1630733,1657986,1680714,1702669,1735424,1764454,1798794,1833952,1867480,1903371,1944801,1982684,2015492,2045223,2079401,2111249,2140486,2172396,2213249,2253665,2351719,2387394,2413371,2441635,2464232,2482610,2505790,2534006,2564256,2594910,2626538,2660053,2684910,2710646,2741259,2774536,2818670,2864457,2899476,2928129,2962469,2993658,3014041,3040333,3071770,3109468,3146532,3176880,3211865,3247166,3288514,3315023,3337006,3353338,3376712,3403655,3447018,3498364,3550819,3596185,3633420
Vic.,598728,602364,604236,605206,609291,615059,623280,631036,639555,646387,662178,679324,698964,712916,725377,733952,742182,748633,758590,767536,778495,793679,808952,824340,837072,849370,864456,877054,887223,896078,904709,910110,917017,922619,928044,933293,938051,943795,951459,961183,976246,990250,997284,1006668,1015980,1025943,1040834,1061757,1086028,1110522,1139580,1167195,1192318,1221242,1250613,1286215,1317960,1350512,1385713,1420036,1455830,1484897,1514497,1547133,1576789,1605977,1634222,1659972,1691102,1721726,1801866,1832276,1855597,1879906,1896942,1909938,1925464,1940829,1954074,1969903,1988200,2011251,2032562,2053143,2075041,2095117,2120325,2146003,2175859,2205957,2228260,2244951,2253494,2260126,2273979,2294785,2314627,2335207,2359806,2386982,2417635,2443478,2469844,2495191,2524659,2558579,2602429,2652454,2708587,2755504,2796858
Qld,222635,226750,229372,233342,238051,242986,247971,252977,260275,270308,280808,289929,299907,311334,319453,324720,328550,339327,346496,351960,361942,368319,377072,386728,398240,408308,414175,420439,426382,432636,439924,445560,450317,455882,461362,467614,473585,479309,486184,492145,498647,502217,508151,515947,524189,530113,538944,550659,563840,581018,595735,612304,628465,642007,657432,672838,689333,703964,719152,732661,748249,761475,775441,792473,809570,824934,838499,853769,871618,887132,918509,941519,967870,995692,1017665,1038840,1058544,1080465,1101997,1127638,1166761,1205217,1233616,1254300,1277980,1304027,1331078,1365801,1409534,1445772,1477200,1508490,1544699,1579852,1614956,1647953,1676448,1703200,1729892,1759904,1793684,1832239,1878110,1920749,1964301,2008134,2058695,2112221,2166044,2205341,2242819
SA,177196,177956,178661,180289,180672,180611,182584,187570,191729,195514,201804,206416,213194,217835,221708,226512,229308,235019,238179,243052,247847,251934,257950,261772,267466,272430,278050,281709,283589,284793,286896,288228,289987,291308,292288,293668,294828,296751,298618,300530,302134,306181,308582,312241,316493,320313,326042,331230,338673,351878,362840,373600,383087,393191,404229,417845,430257,443189,456111,467711,480081,489256,501417,515562,530520,544788,552908,559557,569004,578976,602542,609574,616406,622676,634769,638918,645573,651494,654860,658176,664829,671042,677833,684815,689968,694786,700366,707239,714592,721369,728677,733645,735796,738576,740280,742493,745952,750070,754221,757494,760308,764491,769239,773294,778932,786097,795058,803832,813246,821957,827769
WA,73175,80180,87631,95088,101660,106176,107877,110129,112974,116653,123031,129421,135898,141488,145011,147166,148905,150168,151818,153747,156374,159688,163028,168868,172691,176753,180995,186766,192458,196890,200061,202332,204915,207095,209401,212293,214874,218266,221642,224366,226158,229266,230059,233693,237183,239650,244404,250675,258770,270556,281629,290109,300195,309413,319040,327767,335181,342140,349051,354395,366010,375794,386613,396340,404508,415531,430005,446811,465609,482742,514502,528872,538783,552168,566319,578383,592221,604589,614579,627133,642807,662007,677369,688782,702922,722888,741530,760967,782971,800677,813137,824451,834424,847311,862952,879156,894857,909520,923874,937584,952185,962119,973093,984462,998434,1016014,1044436,1076806,1110812,1136781,1168359
Tas.,82323,83414,85891,87210,88419,88938,89159,90943,92226,92781,92362,92419,93420,94427,96292,97195,98247,100019,101858,103119,104810,105790,106589,106533,106430,105493,105076,106228,107395,108835,111076,111984,112502,112693,112867,113273,114817,115514,116653,118280,118381,119236,120313,121907,123554,125313,127834,128791,130994,135563,140914,145199,148919,151623,154231,156274,160190,163943,167279,169531,172712,175702,178288,180237,182116,184045,186049,188361,191005,192440,198158,199382,200968,202734,204823,206121,207487,208783,210442,212590,214659,216166,217715,220351,223037,224814,226347,227394,229550,232932,235336,237243,238410,239337,240038,240727,240459,239805,239696,239894,240280,240521,242576,245009,246504,248075,249603,251649,254098,255894,256693
NT,621,651,639,672,686,668,650,626,593,570,595,595,673,698,789,959,1004,1137,1154,1078,1076,1000,975,971,976,976,1024,1064,1092,1404,1452,1449,1472,1506,1641,1763,1815,1924,2029,2345,2755,2183,3160,3212,3270,3332,3490,4132,4663,5145,5536,5491,5752,6181,6779,7535,8386,8934,9798,10352,19429,20159,21362,22868,24040,25345,27524,29866,32085,34504,37985,41211,43877,46879,41388,44132,47110,49975,52158,55026,57223,60926,63580,66488,69537,72701,74553,75123,76434,77870,78864,80272,81639,83119,85269,87445,90072,91488,92966,94670,96189,96261,96385,97161,98995,100555,102685,105103,107706,109262,109809
ACT(d),,,,,,,,,,,766,944,975,1040,1014,1134,1129,1117,1059,985,1036,1158,1263,1414,1741,2239,2845,3537,3713,4073,3935,4005,4142,4368,4463,4730,5004,5276,5666,6098,6648,6544,6239,6610,6968,7336,7813,8420,9118,10426,11066,11985,13271,14086,15661,16593,17763,19121,21660,24678,27970,31457,34979,38551,42370,46041,50064,54668,59151,64187,74048,78283,84818,91213,97676,102107,105343,107821,109601,111920,113976,116671,119541,122654,125840,129294,132750,136235,138411,141153,144684,147669,150325,151864,153870,155994,156593,156985,158572,160420,162872,164489,165789,166453,167567,169356,173004,175661,178460,181906,184989
Australia(e),1803000,1831787,1857958,1884386,1915400,1947149,1981333,2017244,2057551,2101902,2155770,2224792,2302836,2365009,2420579,2461212,2502597,2544376,2582236,2632602,2683229,2738392,2794588,2849695,2908105,2964838,3023690,3080842,3128604,3167356,3205279,3233716,3262728,3288979,3315946,3344606,3375652,3408354,3445593,3484909,3525409,3567011,3600519,3643374,3688515,3725634,3781988,3843532,3935508,4055816,4168033,4263869,4352721,4440412,4543409,4649521,4757864,4865755,4976244,5082735,5215082,5321424,5428089,5538387,5649314,5757910,5859757,5965400,6092823,6215372,6499329,6618511,6721690,6832903,6923814,7001049,7087532,7177962,7261967,7357296,7474993,7603333,7707126,7801179,7905584,8018163,8145619,8283219,8426827,8553859,8668627,8770379,8852828,8941791,9044452,9159443,9266860,9364441,9472155,9585337,9712875,9819727,9933140,10036771,10157211,10291542,10473986,10677154,10890856,11063919,11221790
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,1361736,1389085,1413768,1438980,1470298,1504266,1542842,1570712,1596704,1634184,1660378,1742889,1817863,1872027,1889079,1889883,1903588,1941128,1996359,2067689,2103388,2154366,2200370,2242454,2292816,2343668,2401941,2458852,2502629,2529526,2554479,2578214,2600847,2621776,2645052,2665942,2693318,2720307,2748393,2776951,2798280,2828697,2857703,2886574,2918378,2944700,2984838,3015763,3092621,3193372,3278032,3339455,3383792,3423529,3490749,3554257,3624969,3691954,3759834,3832453,3918501,3986948,4049998,4107915,4175438,4237901,4295239,4359325,4441188,4522330,4725503,4795106,4841898,4894053,4932016,4959588,5001888,5053790,5111130,5171527,5234889,5303580,5352959,5402729,5464512,5531526,5616736,5707309,5776283,5834021,5898731,5957822,5995055,6044819,6105560,6176461,6246267,6305799,6375103,6446558,6530349,6580807,6620715,6650735,6693206,6742690,6834156,6943461,7053755,7144292,7218529
Vic.,1203000,1206287,1204318,1201409,1204751,1212437,1226016,1237772,1259463,1278672,1319428,1355900,1393156,1426081,1431835,1412891,1408565,1423074,1473903,1511863,1535739,1570434,1607685,1639821,1670957,1694565,1726790,1750111,1768577,1784669,1799529,1807828,1820261,1828993,1836791,1844931,1852998,1864627,1878480,1900128,1933504,1962643,1974130,1990011,2007029,2025134,2054701,2092320,2142986,2208078,2276575,2344491,2395254,2452341,2517229,2593468,2656257,2718482,2785905,2857389,2930366,2983058,3040841,3105519,3164369,3220217,3274340,3324180,3385043,3444936,3601352,3661254,3707653,3755726,3787441,3810426,3837364,3863759,3886406,3914303,3946917,3992870,4035702,4076492,4120068,4160856,4210111,4262569,4320164,4378592,4420373,4450217,4462766,4472989,4497660,4534984,4569297,4606970,4652462,4704065,4763615,4817774,4873809,4927149,4989246,5061266,5153522,5256375,5371934,5461101,5537817
Qld,502279,511088,514564,522588,529454,537292,543815,556041,572184,594734,617549,635599,659252,683253,696222,685616,682584,701472,723172,748660,766426,779345,797966,816408,840621,861203,873161,887402,899788,912112,926831,937732,947534,957948,968401,981556,993063,1004422,1018007,1027961,1038256,1039757,1048417,1061896,1077124,1089557,1106415,1131200,1159124,1196185,1227701,1259478,1291410,1318259,1350017,1381591,1413085,1439199,1468237,1495927,1527514,1550982,1577867,1610698,1644534,1674324,1699982,1728996,1763087,1792743,1851485,1898478,1951951,2008340,2051362,2092375,2129839,2172047,2214771,2265935,2345208,2424586,2482282,2523859,2571218,2624595,2675107,2739907,2827637,2899283,2960951,3023198,3096185,3166566,3237380,3303192,3355417,3404484,3453936,3509458,3571469,3653123,3743121,3829970,3918494,4007992,4111018,4219505,4328771,4404744,4476778
SA,356074,354641,354427,356475,359419,362871,367004,378086,387791,395443,410753,422871,437416,443600,444721,440654,439703,450636,468486,486454,497128,503731,514611,525819,539056,553341,565081,571291,572368,573096,575798,578060,580949,583396,585066,587676,589196,592959,596563,599237,600290,608289,613039,619443,627306,634829,646073,661153,679305,709547,732430,755053,775781,797094,819567,848557,873166,896803,920898,945320,971487,987496,1010741,1038020,1067571,1094984,1109780,1121811,1139333,1157987,1200114,1214628,1228475,1241538,1265264,1274070,1286119,1296205,1301109,1308397,1318769,1331108,1345775,1360048,1371197,1382550,1392764,1404909,1419029,1432056,1446299,1455442,1458632,1463089,1465340,1469079,1475658,1483270,1490934,1497503,1503461,1511567,1520399,1528189,1538804,1552529,1570619,1588665,1608902,1627322,1639614
WA,188566,205693,220226,235365,247673,255173,255497,258291,263515,271162,287757,301966,313334,323206,321440,313048,306297,308232,319636,330172,333932,341462,350627,363998,372817,381110,392114,407905,421063,429112,432183,435111,438852,442770,447178,452494,457257,463989,470044,473254,474791,476983,475281,481530,487692,492510,502480,515074,532191,557096,580343,599858,620547,639771,657115,674529,687605,699565,712070,722080,746750,765962,788344,808443,825525,848100,879179,915042,954846,991354,1053834,1082017,1101041,1127598,1154948,1178342,1204366,1227851,1246611,1269068,1300056,1338899,1369050,1391237,1418564,1459019,1496248,1535167,1578434,1613049,1636067,1658544,1678722,1704649,1736066,1768206,1798341,1826440,1853936,1879093,1906274,1928512,1952741,1979542,2011207,2050581,2106139,2171700,2240250,2290845,2353409
Tas.,171703,173897,179862,182171,183351,183068,183205,186135,189244,189807,188570,189105,192903,194443,195319,193600,192590,197242,204425,209333,212008,213908,214878,214787,213991,211970,211239,213997,216504,219983,224002,226387,227599,228081,228988,230104,233203,234827,237419,240191,239677,240913,242561,245616,248633,251998,257078,261206,267062,275902,286193,296299,304080,308752,314092,318470,326130,333066,339376,343910,350340,355668,360727,364311,367905,371436,375244,379649,384893,387720,398073,400308,403087,406151,410088,412314,415032,417642,420756,423590,427224,429845,432805,437760,442828,446473,449226,451148,455258,462188,466802,469979,471987,473499,474515,475605,474908,473430,473030,473123,473668,474152,478534,483178,486202,489302,493262,498568,504353,508847,511483
NT,4765,4574,4354,4220,4128,3976,3822,3655,3538,3403,3333,3335,3703,3600,4367,4751,4932,5146,4766,4069,3932,3705,3726,3738,3915,3953,4477,4499,4460,5099,5020,4911,4850,4927,5143,5361,5520,5848,6281,8015,10078,9065,10386,10436,10518,10562,10868,12254,13391,14692,15609,15464,15853,16469,18210,19556,21061,22097,24089,25573,44481,46004,48461,51463,53858,56504,61836,67537,72962,78811,85735,92081,97127,102924,92869,98228,103938,109980,114149,118245,122616,130314,135916,142154,148536,154421,158205,159026,161179,163728,165493,168546,171708,174908,179602,184516,189755,192905,196012,199149,201743,202251,201725,202663,205905,209057,213748,219874,226027,229778,231292
ACT(d),,,,,,,,,,,1777,2056,2545,2780,2586,2730,2556,2473,2357,2222,2583,2938,3506,4120,5058,6550,7685,8153,8494,9013,8643,8581,8947,9470,9639,10308,10981,11562,12567,13753,15022,14389,13387,14205,15012,15867,16905,19791,21386,23824,24892,26360,28645,30315,32750,35135,37865,41167,46070,52368,58828,66173,73400,80333,88465,96032,103478,112095,121662,131468,151169,159792,173306,186241,199007,207740,213688,217981,220797,224291,227581,233045,238983,245112,251389,258910,265477,272129,276432,282211,289320,294887,299753,302194,305838,309629,310533,311532,314171,317235,321538,324627,327357,328940,331399,335170,342644,348368,354785,361766,367985
Australia(e),3788123,3845265,3891519,3941208,3999074,4059083,4122201,4190692,4272439,4367405,4489545,4653721,4820172,4948990,4985569,4943173,4940815,5029403,5193104,5360462,5455136,5569889,5693369,5811145,5939231,6056360,6182488,6302210,6393883,6462610,6526485,6576824,6629839,6677361,6726258,6778372,6835536,6898541,6967754,7039490,7109898,7180736,7234904,7309711,7391692,7465157,7579358,7708761,7908066,8178696,8421775,8636458,8815362,8986530,9199729,9425563,9640138,9842333,10056479,10275020,10548267,10742291,10950379,11166702,11387665,11599498,11799078,12008635,12263014,12507349,13067265,13303664,13504538,13722571,13892995,14033083,14192234,14359255,14515729,14695356,14923260,15184247,15393472,15579391,15788312,16018350,16263874,16532164,16814416,17065128,17284036,17478635,17634808,17805468,18004882,18224767,18423037,18607584,18812264,19028802,19274701,19495210,19720737,19932722,20176844,20450966,20827622,21249199,21691653,22031750,22340024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources: ,"Australian Demographic Trends, 1997 (cat. no. 3102.0) (for years 1901-1991)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Australian Demographic Statistics (cat. no. 3101.0) (for years 1992-2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(a)  Includes estimates of the Indigenous population from 1961 onwards. For more information, see Explanatory Note 28.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(b)  Prior to 1971, estimates of the population were based on the number of people actually present in Australia. From 1971 onwards the concept of estimated resident population (ERP) was introduced. See Explanatory Note 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(c)  Population data from 1992 to 2006 are recast estimates following the rebasing of the 2011 Census. For more information, see Explanatory Note 21.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(d)  Includes Jervis Bay Territory from 1915 to 1994. For more information, see Explanatory Note 13.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(e)  Includes Other Territories from 1994 onwards, hence the sum of the population in the states and territories does not equal the Australian population. For more information, see Explanatory Note 13.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Â© Commonwealth of Australia 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,