,Compensation of employees - Wages and salaries ;,Compensation of employees - Employers' social contributions ;,Total compensation of employees ;,Private non-financial corporations ;  Gross operating surplus ;,Public non-financial corporations ;  Gross operating surplus ;,Non-financial corporations ;  Gross operating surplus ;,Financial corporations ;  Gross operating surplus ;,Total corporations ;  Gross operating surplus ;,General government ;  Gross operating surplus ;,Dwellings owned by persons ;  Gross operating surplus ;,All sectors ;  Gross operating surplus ;,Gross mixed income ;,Total factor income ;,Taxes less subsidies on production and imports ;,Statistical discrepancy (I) ;,GROSS DOMESTIC PRODUCT ;,Private ;  Non-farm ;  Chain volume measures ;,Farm ;  Chain volume measures ;,Public authorities ;  Chain volume measures ;,CHANGES IN INVENTORIES: Chain volume measures ;,Private ;  Non-farm ;  Current prices ;,Farm ;  Current prices ;,Public authorities ;  Current prices ;,CHANGES IN INVENTORIES: Current prices ;
Unit,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED
Frequency,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual
Collection Month,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Series Start,Jun-1984,Jun-1984,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1975,Jun-1975,Jun-1975,Jun-1975,Jun-1960,Jun-1960,Jun-1960,Jun-1960
Series End,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016,Jun-2016
No. Obs,33,33,57,57,57,57,57,57,57,57,57,57,57,57,57,57,42,42,42,42,57,57,57,57
Series ID,A2304858W,A2304856T,A2304584X,A2323367J,A2304609J,A2304610T,A2304606A,A2304613X,A2304608F,A2304612W,A2304607C,A2304603V,A2304614A,A2304630A,A2304639W,A2304617J,A2304769V,A2304767R,A2304771F,A2304770C,A2304623C,A2304621X,A2304625J,A2304624F
Jun-1960,,,7793.0,2377.0,369.0,2746.0,169.0,2915.0,396.0,369.0,3680.0,4004.0,15477.0,1455.0,-330.0,16602.0,,,,,211.0,21.0,-15.0,217.0
Jun-1961,,,8391.0,2393.0,431.0,2824.0,187.0,3011.0,418.0,437.0,3866.0,4041.0,16298.0,1546.0,-284.0,17560.0,,,,,415.0,55.0,31.0,501.0
Jun-1962,,,8661.0,2508.0,470.0,2977.0,181.0,3158.0,432.0,499.0,4089.0,3868.0,16618.0,1465.0,-304.0,17779.0,,,,,-106.0,-50.0,-87.0,-243.0
Jun-1963,,,9179.0,2830.0,496.0,3326.0,187.0,3513.0,446.0,575.0,4534.0,4161.0,17874.0,1615.0,-267.0,19222.0,,,,,221.0,-31.0,53.0,243.0
Jun-1964,,,10038.0,3224.0,592.0,3816.0,241.0,4057.0,468.0,636.0,5162.0,4670.0,19870.0,1709.0,-339.0,21240.0,,,,,186.0,-6.0,-44.0,136.0
Jun-1965,,,11271.0,3551.0,631.0,4182.0,248.0,4430.0,501.0,699.0,5630.0,4750.0,21651.0,1925.0,-395.0,23182.0,,,,,441.0,51.0,73.0,565.0
Jun-1966,,,12213.0,3587.0,558.0,4145.0,324.0,4469.0,539.0,758.0,5767.0,4616.0,22596.0,2078.0,-308.0,24366.0,,,,,190.0,-86.0,-20.0,84.0
Jun-1967,,,13367.0,3994.0,625.0,4619.0,365.0,4984.0,594.0,864.0,6442.0,5341.0,25151.0,2214.0,-201.0,27163.0,,,,,163.0,112.0,129.0,404.0
Jun-1968,,,14566.0,4522.0,679.0,5201.0,376.0,5577.0,652.0,977.0,7206.0,5246.0,27018.0,2427.0,-257.0,29187.0,,,,,292.0,-31.0,-114.0,147.0
Jun-1969,,,16116.0,5176.0,792.0,5969.0,402.0,6371.0,718.0,1106.0,8194.0,5902.0,30213.0,2627.0,-107.0,32733.0,,,,,294.0,151.0,292.0,737.0
Jun-1970,,,18134.0,6113.0,815.0,6928.0,550.0,7478.0,787.0,1264.0,9530.0,6515.0,34179.0,2943.0,-241.0,36881.0,,,,,425.0,136.0,-6.0,555.0
Jun-1971,,,20826.0,6420.0,850.0,7270.0,624.0,7894.0,876.0,1502.0,10272.0,6336.0,37434.0,3150.0,-240.0,40344.0,,,,,480.0,203.0,-96.0,587.0
Jun-1972,,,23270.0,6871.0,1000.0,7870.0,666.0,8536.0,974.0,1737.0,11247.0,6939.0,41456.0,3551.0,-491.0,44515.0,,,,,155.0,160.0,-157.0,158.0
Jun-1973,,,25962.0,7837.0,1135.0,8972.0,794.0,9766.0,1104.0,1997.0,12867.0,7786.0,46615.0,3963.0,-796.0,49782.0,,,,,-108.0,-122.0,-110.0,-340.0
Jun-1974,,,31766.0,8605.0,1155.0,9761.0,802.0,10563.0,1300.0,2341.0,14204.0,9953.0,55923.0,4965.0,-565.0,60323.0,,,,,590.0,279.0,391.0,1260.0
Jun-1975,,,40982.0,9190.0,1177.0,10367.0,1025.0,11392.0,1737.0,2916.0,16045.0,9009.0,66036.0,6146.0,-983.0,71199.0,3590.0,-23.0,1126.0,4302.0,662.0,-437.0,458.0,683.0
Jun-1976,,,47344.0,10863.0,1460.0,12323.0,1041.0,13364.0,2122.0,3598.0,19084.0,10298.0,76727.0,7919.0,-1369.0,83276.0,95.0,-12.0,547.0,475.0,25.0,10.0,145.0,180.0
Jun-1977,,,53397.0,12649.0,1830.0,14479.0,1656.0,16135.0,2399.0,4384.0,22918.0,11748.0,88063.0,8976.0,-909.0,96130.0,3762.0,-36.0,177.0,3129.0,1213.0,-73.0,-6.0,1134.0
Jun-1978,,,58516.0,13402.0,2060.0,15463.0,1718.0,17181.0,2701.0,5326.0,25208.0,12342.0,96066.0,9400.0,-492.0,104974.0,-839.0,-18.0,207.0,-1401.0,-42.0,-145.0,-341.0,-528.0
Jun-1979,,,62867.0,15950.0,2541.0,18491.0,1677.0,20168.0,2957.0,6260.0,29385.0,16074.0,108326.0,10978.0,-645.0,118659.0,2179.0,61.0,177.0,3408.0,335.0,228.0,825.0,1388.0
Jun-1980,,,69990.0,19004.0,3235.0,22239.0,1495.0,23734.0,3422.0,7282.0,34438.0,18380.0,122808.0,12947.0,-1231.0,134524.0,3079.0,-18.0,269.0,2256.0,1146.0,11.0,-243.0,914.0
Jun-1981,,,80897.0,22233.0,3576.0,25809.0,1419.0,27228.0,3928.0,8503.0,39659.0,18985.0,139540.0,14860.0,-2118.0,152282.0,1114.0,93.0,993.0,1038.0,634.0,66.0,-272.0,428.0
Jun-1982,,,93788.0,24157.0,4351.0,28508.0,1952.0,30460.0,4505.0,9939.0,44903.0,19757.0,158449.0,16921.0,412.0,175781.0,2121.0,45.0,1068.0,3111.0,698.0,57.0,795.0,1550.0
Jun-1983,,,103910.0,24360.0,4973.0,29333.0,4319.0,33652.0,5228.0,11265.0,50146.0,17171.0,171226.0,19251.0,-1164.0,189313.0,-5057.0,-109.0,980.0,-3771.0,-2218.0,-204.0,58.0,-2364.0
Jun-1984,100870.0,9133.0,110004.0,32069.0,6221.0,38290.0,4249.0,42539.0,5734.0,12360.0,60633.0,22649.0,193286.0,22229.0,-1848.0,213667.0,657.0,345.0,285.0,2691.0,-411.0,443.0,1239.0,1271.0
Jun-1985,110727.0,10248.0,120975.0,37874.0,7347.0,45221.0,2290.0,47511.0,6128.0,13466.0,67105.0,24471.0,212550.0,25518.0,-2788.0,235280.0,3564.0,-88.0,292.0,2877.0,2122.0,79.0,120.0,2321.0
Jun-1986,121474.0,11586.0,133060.0,41979.0,8470.0,50448.0,1586.0,52034.0,6981.0,15698.0,74714.0,27167.0,234941.0,28106.0,-2457.0,260590.0,3084.0,-130.0,-683.0,1844.0,1356.0,-134.0,-337.0,884.0
Jun-1987,131579.0,12998.0,144577.0,45165.0,9487.0,54652.0,4246.0,58898.0,7814.0,17994.0,84705.0,28990.0,258273.0,30653.0,-2740.0,286185.0,-2117.0,3.0,-517.0,-2497.0,-1292.0,51.0,-416.0,-1657.0
Jun-1988,144939.0,14036.0,158975.0,50897.0,12756.0,63653.0,8348.0,72001.0,8419.0,20450.0,100871.0,32545.0,292391.0,35368.0,-3214.0,324545.0,2865.0,256.0,-858.0,1883.0,1251.0,151.0,-733.0,669.0
Jun-1989,162908.0,14805.0,177714.0,56118.0,13752.0,69870.0,11746.0,81616.0,9040.0,24055.0,114711.0,39075.0,331499.0,39475.0,-2616.0,368358.0,4107.0,64.0,253.0,4085.0,3170.0,105.0,81.0,3356.0
Jun-1990,183202.0,16276.0,199479.0,62817.0,14490.0,77307.0,9044.0,86351.0,10009.0,27461.0,123820.0,41163.0,364461.0,42497.0,-2260.0,404698.0,2961.0,-306.0,4306.0,7344.0,3095.0,-240.0,2332.0,5187.0
Jun-1991,189968.0,17393.0,207361.0,59069.0,16122.0,75191.0,8872.0,84063.0,10816.0,29670.0,124549.0,40891.0,372801.0,42882.0,-239.0,415444.0,-3458.0,85.0,1816.0,-1125.0,-2248.0,-18.0,819.0,-1447.0
Jun-1992,192397.0,17811.0,210208.0,59864.0,17829.0,77693.0,10806.0,88499.0,11225.0,31403.0,131127.0,37942.0,379277.0,42245.0,1976.0,423498.0,-2792.0,222.0,-993.0,-3365.0,-1804.0,224.0,-507.0,-2086.0
Jun-1993,199497.0,19166.0,218663.0,65310.0,18307.0,83617.0,14793.0,98410.0,11769.0,32081.0,142259.0,41144.0,402067.0,43536.0,-1034.0,444569.0,728.0,-131.0,392.0,896.0,444.0,-109.0,182.0,517.0
Jun-1994,207690.0,20166.0,227856.0,69491.0,19813.0,89305.0,17589.0,106894.0,12384.0,32681.0,151960.0,41783.0,421599.0,48440.0,-2829.0,467210.0,2107.0,-60.0,-183.0,1829.0,1421.0,54.0,-45.0,1430.0
Jun-1995,219448.0,22219.0,241667.0,72267.0,19453.0,91720.0,20895.0,112615.0,12874.0,33779.0,159268.0,42338.0,443273.0,52877.0,0.0,496150.0,4886.0,733.0,-1387.0,4382.0,5064.0,528.0,-1417.0,4175.0
Jun-1996,234795.0,24154.0,258949.0,79679.0,18212.0,97892.0,22132.0,120024.0,13498.0,34853.0,168375.0,45214.0,472538.0,57060.0,0.0,529598.0,4719.0,499.0,-1562.0,3584.0,2885.0,583.0,-59.0,3409.0
Jun-1997,250790.0,26497.0,277287.0,78435.0,18394.0,96829.0,23168.0,119997.0,13808.0,38707.0,172512.0,47626.0,497425.0,59821.0,0.0,557246.0,8926.0,-39.0,-3725.0,5342.0,6330.0,50.0,-2098.0,4282.0
Jun-1998,261753.0,27460.0,289213.0,83119.0,19872.0,102991.0,25319.0,128310.0,14547.0,41232.0,184089.0,53374.0,526676.0,62718.0,0.0,589394.0,2556.0,483.0,-527.0,2542.0,702.0,309.0,795.0,1806.0
Jun-1999,278098.0,29611.0,307709.0,90427.0,17827.0,108254.0,27188.0,135442.0,15356.0,43698.0,194496.0,52453.0,554658.0,66342.0,0.0,621000.0,6869.0,-147.0,162.0,6518.0,4414.0,-203.0,-141.0,4070.0
Jun-2000,293623.0,31039.0,324662.0,100967.0,18714.0,119681.0,29868.0,149549.0,16085.0,46498.0,212132.0,53791.0,590585.0,70930.0,0.0,661515.0,1792.0,165.0,-470.0,1793.0,2049.0,-69.0,-135.0,1845.0
Jun-2001,312960.0,33564.0,346524.0,109336.0,18958.0,128294.0,31458.0,159752.0,17363.0,48281.0,225396.0,53467.0,625387.0,80655.0,0.0,706042.0,1997.0,891.0,-2138.0,1977.0,1550.0,386.0,-768.0,1168.0
Jun-2002,329440.0,35465.0,364905.0,112622.0,19918.0,132540.0,32712.0,165252.0,18177.0,51606.0,235035.0,70173.0,670113.0,84115.0,0.0,754228.0,171.0,286.0,56.0,509.0,346.0,88.0,22.0,456.0
Jun-2003,348583.0,38723.0,387306.0,131234.0,19696.0,150930.0,32667.0,183597.0,18872.0,54541.0,257010.0,64777.0,709093.0,92494.0,0.0,801587.0,-1678.0,-495.0,-272.0,-2344.0,-440.0,-584.0,-111.0,-1135.0
Jun-2004,371187.0,41876.0,413063.0,140851.0,21151.0,162002.0,35265.0,197267.0,19475.0,58169.0,274911.0,75401.0,763375.0,98844.0,0.0,862219.0,6245.0,19.0,-844.0,5840.0,4143.0,246.0,-306.0,4083.0
Jun-2005,399491.0,45173.0,444664.0,150011.0,21541.0,171552.0,38211.0,209763.0,20753.0,62073.0,292590.0,84360.0,821614.0,101231.0,0.0,922845.0,7568.0,120.0,-145.0,7618.0,3777.0,7.0,-64.0,3720.0
Jun-2006,427704.0,49297.0,477001.0,176409.0,20759.0,197168.0,42281.0,239449.0,22116.0,66955.0,328520.0,85347.0,890868.0,107590.0,0.0,998458.0,-4924.0,885.0,692.0,-3504.0,-4501.0,655.0,348.0,-3498.0
Jun-2007,466985.0,54129.0,521114.0,205814.0,16407.0,222221.0,46404.0,268625.0,23497.0,73937.0,366058.0,84984.0,972156.0,115284.0,0.0,1087440.0,1242.0,529.0,66.0,1874.0,418.0,566.0,56.0,1040.0
Jun-2008,509445.0,58754.0,568199.0,215834.0,12988.0,228822.0,52849.0,281671.0,24608.0,82578.0,388857.0,98714.0,1055770.0,123039.0,0.0,1178809.0,3638.0,1228.0,-1770.0,4050.0,3620.0,1798.0,-891.0,4527.0
Jun-2009,529778.0,60824.0,590602.0,251906.0,13496.0,265402.0,63297.0,328699.0,26903.0,90929.0,446531.0,102822.0,1139955.0,119325.0,0.0,1259280.0,-4614.0,-127.0,-2133.0,-5967.0,-1648.0,-883.0,-983.0,-3514.0
Jun-2010,550539.0,63182.0,613721.0,244566.0,15602.0,260168.0,62372.0,322540.0,27474.0,97576.0,447590.0,108115.0,1169426.0,128082.0,0.0,1297508.0,-1443.0,-430.0,368.0,-1692.0,-1989.0,-487.0,300.0,-2176.0
Jun-2011,598779.0,68214.0,666993.0,278417.0,16217.0,294634.0,65243.0,359877.0,28718.0,102153.0,490748.0,116493.0,1274234.0,136208.0,0.0,1410442.0,3373.0,1040.0,82.0,4684.0,4873.0,1136.0,64.0,6073.0
Jun-2012,642684.0,72740.0,715424.0,296346.0,17063.0,313409.0,66392.0,379801.0,30121.0,109144.0,519067.0,117614.0,1352105.0,139636.0,0.0,1491741.0,2848.0,795.0,631.0,4314.0,3965.0,556.0,657.0,5178.0
Jun-2013,664689.0,74833.0,739522.0,284077.0,16765.0,300842.0,72316.0,373158.0,31624.0,116383.0,521165.0,117262.0,1377949.0,149580.0,0.0,1527529.0,1004.0,743.0,-183.0,1478.0,1872.0,425.0,-220.0,2077.0
Jun-2014,687325.0,78894.0,766219.0,288926.0,17885.0,306811.0,78330.0,385141.0,33332.0,123639.0,542112.0,122606.0,1430937.0,159003.0,0.0,1589940.0,-3749.0,375.0,32.0,-3367.0,-2309.0,367.0,41.0,-1901.0
Jun-2015,701404.0,81813.0,783217.0,268521.0,18605.0,287126.0,84478.0,371604.0,34912.0,130347.0,536862.0,135525.0,1455604.0,161414.0,0.0,1617016.0,1636.0,15.0,-291.0,1360.0,1636.0,15.0,-291.0,1360.0
Jun-2016,722811.0,84311.0,807122.0,256657.0,18162.0,274819.0,89829.0,364648.0,36571.0,135476.0,536695.0,145620.0,1489437.0,170411.0,-4920.0,1654928.0,-250.0,-356.0,550.0,-57.0,-455.0,86.0,531.0,162.0