Per Capita GDP at current prices in US Dollars (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Former Netherlands Antilles,"1,394","1,494","1,678","1,864","2,324","2,739","3,053","3,445","4,195","4,961","5,476","6,261","6,628","6,518","6,506","6,558","8,429","8,739","8,996","10,035","10,520","10,975","11,454","12,175","13,088","13,560","14,318","14,951","15,329","15,443","16,020","16,434","16,777","17,344","17,785","17,312","17,889","18,422","19,373","18,997",,,,,,
France,"2,862","3,174","3,857","4,966","5,317","6,673","6,846","7,513","9,248","11,171","12,713","11,111","10,506","10,006","9,433","9,775","13,557","16,324","17,696","17,704","21,795","21,683","23,826","22,392","23,488","26,859","26,823","24,174","24,901","24,617","22,340","22,434","24,197","29,602","33,797","34,833","36,523","41,588","45,401","41,604","40,667","43,762","40,795","42,531","42,801","36,304"
French Polynesia,"2,379","2,687","2,855","3,646","4,542","5,468","6,004","6,268","7,695","9,281","10,271","9,328","9,104","9,185","9,215","9,795","14,553","15,656","15,478","15,253","17,987","18,236","19,446","18,219","18,547","20,542","19,429","18,208","18,582","18,031","15,835","15,306","16,044","19,806","22,053","22,374","22,786","25,435","27,039","24,709","22,684","22,874","20,795","21,532","21,586","18,161"
Gabon,695,803,889,"1,465","3,071","4,206","5,741","5,241","4,356","5,393","7,435","6,543","5,975","5,458","5,580","5,589","5,149","4,904","4,781","5,004","6,342","6,147","6,196","5,834","4,406","5,080","5,684","5,203","4,275","4,293","4,609","4,111","4,191","4,975","5,821","6,952","7,324","8,633","10,523","7,755","8,354","10,765","9,897","10,317","10,317","7,961"
Gambia,215,220,277,458,580,675,603,619,715,761,834,854,827,787,740,894,580,618,740,736,772,727,729,749,720,738,774,713,725,683,637,543,442,361,415,433,440,520,609,550,563,517,505,484,440,473
Georgia,,,,,,,,,,,,,,,,,,,,,"1,548","1,268",730,538,501,534,614,713,744,583,645,687,733,872,"1,133","1,433","1,749","2,319","2,946","2,505","2,738","3,440","3,829","3,953","4,092","3,491"
Germany,"2,744","3,169","3,795","5,041","5,636","6,213","6,587","7,618","9,406","11,212","12,113","10,225","9,942","9,887","9,313","9,408","13,420","16,609","17,862","17,751","22,353","23,424","26,515","25,639","27,164","31,753","30,582","27,059","27,353","26,839","23,810","23,844","25,450","30,718","34,628","35,218","37,040","42,543","46,519","42,447","42,483","46,723","44,037","46,577","48,102","41,686"
Ghana,413,439,373,339,384,359,358,383,437,453,484,497,475,455,495,519,541,565,601,591,682,746,713,601,534,618,647,629,667,673,424,441,499,602,683,804,930,"1,099","1,234","1,096","1,323","1,587","1,642","1,827","1,397","1,356"
Greece,"1,496","1,654","1,906","2,511","2,830","3,160","3,412","3,908","4,714","5,727","5,909","5,394","5,588","5,031","4,867","4,826","5,669","6,578","7,613","7,864","9,662","10,290","11,260","10,429","11,060","12,864","13,599","13,257","13,300","13,670","12,025","12,395","13,971","18,307","21,772","22,383","24,626","28,611","31,758","29,517","26,782","25,804","22,113","21,697","21,460","17,788"
Greenland,"1,483","1,845","2,170","2,827","3,393","4,188","4,755","5,567","7,019","8,280","9,328","8,469","7,734","7,894","7,100","7,632","11,020","14,238","16,099","16,532","18,018","17,915","18,270","16,324","17,718","21,298","21,088","18,865","20,207","19,849","18,693","18,957","20,336","24,727","28,470","28,969","31,799","35,854","40,534","40,851","40,450","44,361","41,815","42,994","43,430","36,977"
Grenada,204,258,346,428,445,551,558,634,793,923,996,"1,050","1,129","1,157","1,226","1,368","1,536","1,794","2,009","2,227","2,467","2,582","2,611","2,579","2,676","2,793","2,978","3,196","3,506","3,768","5,149","5,138","5,332","5,826","5,867","6,804","6,826","7,375","8,008","7,453","7,418","7,466","7,673","8,011","8,313","8,934"
Guatemala,313,317,327,388,464,521,607,743,801,888,987,"1,050","1,035","1,046","1,067","1,228",905,741,801,839,745,893,968,"1,031","1,145","1,261","1,326","1,458","1,553","1,431","1,471","1,562","1,693","1,743","1,861","2,064","2,241","2,472","2,774","2,617","2,806","3,167","3,279","3,432","3,667","3,903"
Guinea,182,199,211,225,256,287,325,333,378,401,444,480,507,521,532,561,574,590,629,618,647,648,658,618,615,669,677,645,577,549,485,455,448,513,531,420,426,619,668,627,622,615,627,680,723,704
Guinea-Bissau,395,384,442,535,577,652,577,488,554,595,552,589,473,465,497,440,477,506,468,552,578,601,620,635,653,677,444,334,298,315,276,283,297,340,371,401,396,456,554,518,520,656,577,595,570,530
Guyana,614,643,643,677,936,"1,087",946,923,"1,025","1,061","1,199","1,150",979,991,915,963,"1,097",736,898,835,877,775,831,"1,033","1,202","1,364","1,541","1,628","1,552","1,497","1,531","1,528","1,558","1,596","1,693","1,772","1,961","2,334","2,570","2,698","2,999","3,409","3,759","3,929","4,028","4,279"
Haiti,93,100,101,125,149,176,223,235,237,257,323,323,328,353,386,417,455,389,384,393,436,414,286,240,277,345,373,400,455,486,429,404,364,315,401,448,518,625,660,660,671,737,760,804,819,794
Honduras,306,315,337,372,409,431,502,602,674,762,842,897,895,920,963,"1,025","1,041","1,101","1,191","1,293",742,726,788,786,751,845,850,961,"1,049","1,058","1,151","1,201","1,209","1,243","1,314","1,418","1,558","1,733","1,912","1,976","2,111","2,324","2,395","2,358","2,449","2,522"
Hungary,615,666,779,961,"1,050","1,192","1,374","1,526","1,775","2,042","2,357","2,419","2,471","2,252","2,194","2,232","2,582","2,850","3,063","3,115","3,564","3,341","3,726","3,860","4,152","4,473","4,503","4,575","4,732","4,786","4,617","5,266","6,644","8,386","10,249","11,152","11,391","13,831","15,650","12,951","13,007","14,025","12,785","13,570","14,085","12,351"
Iceland,"2,598","3,264","4,034","5,452","7,089","6,508","7,645","10,023","11,304","12,730","14,943","15,276","13,867","11,823","12,101","12,462","16,475","22,544","24,669","22,674","25,592","27,065","27,468","23,894","24,318","26,852","27,776","27,845","30,730","32,084","31,812","28,680","32,070","39,003","46,756","56,248","56,643","69,725","56,898","40,998","41,676","45,711","43,965","47,571","52,486","50,936"
India,108,113,120,140,154,157,154,175,198,214,257,268,267,285,276,281,301,326,353,342,364,316,311,298,335,373,385,411,406,425,431,437,449,517,616,710,791,991,"1,048","1,069","1,341","1,501","1,474","1,504","1,580","1,614"
Indonesia,90,92,106,152,236,271,324,388,426,416,573,710,712,629,632,617,554,515,591,663,735,809,863,964,"1,062","1,195","1,325","1,239",540,785,831,797,958,"1,135","1,225","1,345","1,693","1,981","2,308","2,409","3,125","3,648","3,701","3,632","3,500","3,346"
Iran (Islamic Republic of),385,469,570,876,"1,453","1,594","2,025","2,313","2,167","2,425","2,473","2,553","3,038","3,621","3,645","1,613","1,496","1,713","1,742","1,663","1,716","1,835","1,887","2,027","1,922","1,896","2,011","1,825","1,733","1,757","1,664","1,793","2,189","2,241","2,650","3,135","3,647","4,705","5,476","5,438","6,300","7,874","7,711","6,631","5,443","5,038"
Iraq,238,258,251,305,347,420,518,542,665,865,920,802,820,761,770,775,836,"1,001","1,044",966,977,333,382,265,206,172,292,310,383,648,717,729,699,645,995,"1,342","1,968","2,636","3,527","3,659","3,795","4,941","5,641","6,073","5,465","4,509"
Ireland,"1,493","1,710","2,089","2,434","2,527","2,985","2,926","3,425","4,391","5,413","6,345","5,965","6,140","5,893","5,674","5,980","8,060","9,520","10,610","11,029","13,852","13,960","15,626","14,577","15,786","18,986","20,651","22,347","24,069","26,071","25,993","27,967","32,243","40,653","47,061","50,356","54,066","61,530","61,366","51,716","47,938","51,710","48,377","51,222","54,815","60,514"
Israel,"2,133","2,190","2,785","3,464","4,560","4,385","4,498","4,762","4,596","5,801","6,461","6,727","7,221","7,916","7,304","6,778","8,268","9,775","11,746","11,453","13,195","14,643","15,824","15,333","16,822","18,808","20,041","20,375","20,116","19,893","22,004","21,311","19,380","19,948","20,922","21,573","22,780","25,827","30,439","28,545","31,502","34,558","33,484","37,519","38,890","37,129"
Italy,"2,112","2,306","2,668","3,202","3,619","4,107","4,033","4,603","5,609","6,986","8,443","7,599","7,520","7,782","7,679","7,920","11,206","14,094","15,592","16,239","20,653","21,779","23,060","18,589","19,182","20,498","22,928","21,721","22,212","21,890","19,979","20,264","21,968","27,061","30,822","31,584","32,970","37,250","40,304","36,743","35,663","38,142","34,699","35,644","35,957","30,462"
Jamaica,847,913,"1,095","1,105","1,353","1,607","1,645","1,782","1,435","1,304","1,417","1,552","1,687","1,823","1,178","1,029","1,232","1,463","1,702","1,945","2,021","1,794","1,593","2,034","2,013","2,629","2,933","3,318","3,417","3,423","3,463","3,512","3,689","3,559","3,819","4,199","4,433","4,733","5,045","4,440","4,823","5,247","5,357","5,148","4,993","5,106"
Japan,"2,040","2,272","2,968","3,977","4,358","4,683","5,207","6,347","8,841","9,127","9,487","10,405","9,599","10,395","10,977","11,674","17,213","20,775","25,122","25,054","25,685","29,161","31,643","36,120","39,541","43,774","38,733","35,304","32,191","36,357","38,878","34,162","32,595","35,137","37,983","37,450","35,634","35,483","39,570","41,082","44,770","48,388","48,790","40,601","38,241","34,629"
Jordan,358,364,389,431,483,615,772,926,"1,193","1,405","1,760","1,809","1,848","1,853","1,815","1,840","2,144","2,188","1,960","1,286","1,197","1,185","1,421","1,417","1,501","1,558","1,558","1,594","1,712","1,737","1,775","1,851","1,940","2,022","2,207","2,361","2,723","2,971","3,656","3,801","4,054","4,266","4,423","4,656","4,831","4,940"
Kazakhstan,,,,,,,,,,,,,,,,,,,,,"1,798","1,656","1,611","1,510","1,362","1,291","1,339","1,433","1,453","1,120","1,223","1,483","1,641","2,037","2,821","3,697","5,192","6,655","8,384","7,163","9,077","11,636","12,365","13,839","12,746","10,312"
Kenya,224,239,259,295,339,358,368,458,522,577,647,587,544,487,486,463,527,560,577,546,540,493,471,317,392,491,489,519,544,485,466,468,462,510,536,608,712,858,939,943,992,"1,013","1,185","1,261","1,368","1,377"
Kiribati,395,412,514,829,"1,480","1,405","1,034",960,"1,101","1,035","1,040",657,639,595,642,468,442,501,628,587,552,643,643,621,715,720,847,838,805,834,885,760,844,"1,060","1,131","1,215","1,152","1,358","1,413","1,297","1,493","1,693","1,764","1,724","1,684","1,443"
Kosovo,,,,,,,,,,,,,,,,,,,,,"2,731","2,030","1,486","1,098","1,093","2,351","1,531","1,448","1,325",932,871,"1,339","1,554","1,835","2,022","2,108","2,213","2,669","3,233","3,201","3,298","3,739","3,644","3,985","4,183","3,665"
Kuwait,"3,829","4,804","5,131","5,832","13,158","11,431","11,762","11,973","12,426","18,815","20,725","17,384","14,210","13,157","13,090","12,359","9,820","11,662","10,331","11,835","8,972","5,488","10,407","13,372","14,693","16,221","19,227","17,999","14,690","16,255","19,548","17,532","18,674","22,841","27,436","35,694","42,502","45,157","54,479","36,779","37,724","47,555","50,897","48,465","43,339","29,304"
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,594,559,489,420,340,325,392,373,340,255,277,306,319,380,436,481,549,727,970,872,877,"1,116","1,169","1,277","1,278","1,106"
Lao People's DR,43,46,48,54,59,68,72,74,80,83,98,122,135,143,155,163,170,167,164,190,204,235,252,277,313,352,363,331,239,266,312,311,320,361,420,473,569,709,874,908,"1,077","1,266","1,452","1,635","1,772","1,850"
Latvia,,,,,,,,,,,,,,,,,,,,,"3,632","3,386","2,285","2,025","2,117","2,173","2,428","2,680","2,972","3,146","3,347","3,560","4,121","5,137","6,369","7,597","9,753","14,232","16,600","12,361","11,368","13,772","13,783","15,028","15,744","13,704"
Lebanon,866,950,"1,154","1,466","1,843","1,691",734,"1,371","1,528","1,766","2,091","1,990","1,349","1,419",991,850,"1,049",816,"1,303","1,066","1,091","1,582","2,032","2,726","3,148","3,793","4,439","5,043","5,430","5,388","5,155","5,079","5,312","5,350","5,473","5,390","5,435","6,088","7,112","8,484","8,858","8,728","8,956","8,931","8,676","8,571"
Lesotho,65,61,71,106,118,120,115,147,198,209,269,266,238,253,211,169,194,243,278,288,341,374,434,426,438,490,459,477,440,436,415,377,348,510,645,711,736,817,827,860,"1,088","1,241","1,159","1,065","1,034",941
Liberia,182,187,198,225,268,312,315,342,364,406,404,449,448,430,413,401,392,414,446,466,232,213,140,101,83,82,92,145,163,184,183,174,183,139,165,186,207,232,250,268,271,378,414,453,458,456
Libya,"1,882","2,210","2,534","3,322","5,577","5,206","6,489","7,326","6,955","9,230","11,966","10,076","9,520","8,873","7,790","7,782","6,139","5,554","6,104","6,300","7,068","7,648","7,929","7,028","6,430","5,800","6,294","6,557","5,801","6,413","7,208","6,275","3,971","4,677","5,838","7,834","9,324","10,414","15,569","11,087","12,918","6,454","15,247","12,228","7,684","5,488"
Liechtenstein,"4,734","5,394","6,301","8,217","9,430","11,747","12,725","13,872","19,555","22,092","23,094","21,801","22,001","21,872","20,792","21,685","31,638","42,316","46,207","44,053","55,252","56,962","61,773","62,475","71,682","88,001","89,306","80,647","85,624","90,630","83,385","82,703","88,364","100,057","111,647","117,279","127,180","145,102","158,939","139,781","156,533","175,517","165,693","172,562","178,723","169,492"
Lithuania,,,,,,,,,,,,,,,,,,,,,"2,774","2,702","2,181","1,879","1,742","1,847","2,328","2,832","3,171","3,122","3,310","3,542","4,159","5,520","6,707","7,819","9,139","12,172","14,875","11,801","11,890","14,174","14,210","15,677","16,657","14,384"
Luxembourg,"4,431","4,582","5,689","7,738","9,359","9,108","9,912","10,898","13,491","15,699","17,071","14,302","13,013","12,785","12,526","12,879","18,721","23,149","25,990","27,435","34,553","36,964","40,933","41,431","45,412","52,745","52,513","46,894","47,470","51,478","49,014","47,824","52,531","65,290","76,014","80,762","90,026","106,004","113,686","101,527","104,169","114,574","105,942","112,949","117,454","100,161"
Madagascar,137,144,160,191,210,243,226,237,261,329,373,323,309,300,303,286,317,243,225,223,267,225,244,267,228,235,288,247,253,244,246,279,263,317,246,275,293,379,472,417,414,456,445,462,453,402
Malawi,126,154,171,161,193,209,222,259,295,307,363,353,326,331,313,281,279,274,287,327,337,381,339,372,219,252,297,306,304,295,281,270,297,265,280,287,305,328,383,432,471,470,354,318,357,373
Malaysia,354,380,440,653,790,758,877,"1,019","1,240","1,571","1,770","1,763","1,843","2,033","2,214","1,979","1,710","1,927","2,050","2,194","2,417","2,626","3,080","3,396","3,686","4,286","4,743","4,593","3,228","3,456","4,005","3,879","4,133","4,431","4,925","5,564","6,195","7,241","8,487","7,312","9,069","10,428","10,835","10,971","11,306","9,768"
Maldives,363,393,443,526,644,391,346,314,356,547,583,596,731,735,817,869,936,900,"1,040","1,133","1,247","1,377","1,562","1,723","1,856","2,211","2,442","2,699","2,813","3,012","3,135","3,084","3,122","3,537","4,009","3,672","4,755","5,534","6,573","6,578","6,986","7,234","7,303","7,961","8,657","9,446"
Mali,59,69,77,88,81,118,138,157,179,222,254,230,198,170,164,176,253,294,300,296,352,336,373,361,260,329,329,310,327,320,267,305,332,389,436,485,518,592,686,693,704,830,772,798,842,744
Malta,852,899,"1,001","1,170","1,270","1,596","1,765","2,077","2,615","3,269","4,042","3,978","3,905","3,645","3,406","3,417","4,340","5,243","5,986","6,220","7,407","7,921","8,622","7,659","8,401","9,929","10,133","9,969","10,412","10,642","10,469","10,445","11,421","13,785","15,309","16,100","16,962","19,675","22,091","20,826","21,212","23,080","22,287","24,440","25,704","23,281"
Marshall Islands,416,432,451,500,626,658,690,742,789,876,881,981,"1,057","1,207","1,246","1,155","1,405","1,508","1,619","1,604","1,674","1,717","1,861","2,005","2,156","2,378","2,177","2,056","2,093","2,073","2,127","2,208","2,394","2,440","2,521","2,647","2,758","2,878","2,926","2,908","3,124","3,290","3,502","3,603","3,530","3,453"
Mauritania,282,294,333,368,486,571,619,619,592,717,975,915,806,796,673,614,702,775,793,788,802,836,824,684,704,720,707,667,565,535,477,463,459,525,616,693,938,"1,009","1,181","1,046","1,208","1,403","1,385","1,529","1,434","1,235"
Mauritius,238,264,326,402,658,651,796,915,"1,110","1,303","1,201","1,197","1,118","1,119","1,058","1,086","1,465","1,821","2,044","2,074","2,481","2,626","3,018","3,009","3,240","3,625","3,920","3,673","3,622","3,695","3,935","3,864","4,028","4,810","5,411","5,310","5,483","6,320","7,788","7,108","7,787","8,988","9,096","9,443","9,943","9,041"
Mexico,850,908,"1,013","1,201","1,516","1,799","1,766","1,585","1,935","2,473","3,345","4,194","2,851","2,391","2,761","2,841","1,952","2,073","2,487","2,968","3,427","4,020","4,556","4,954","5,071","3,384","3,858","4,571","4,719","5,300","6,308","6,662","6,860","6,674","7,113","7,880","8,666","9,220","9,579","7,648","8,851","9,715","9,703","10,173","10,326","8,981"
Micronesia (FS of),343,372,427,593,782,775,771,759,834,906,933,"1,075","1,088","1,106","1,079","1,262","1,353","1,380","1,492","1,536","1,639","1,780","1,865","1,988","2,015","2,063","2,019","1,905","2,029","2,046","2,171","2,239","2,257","2,293","2,257","2,360","2,403","2,448","2,522","2,698","2,867","3,006","3,154","3,049","3,057","3,015"
Monaco,"12,097","13,393","16,199","20,710","22,004","27,399","27,907","30,408","37,155","44,508","50,171","43,362","40,510","38,140","35,630","36,723","50,859","61,356","66,765","67,024","82,625","82,117","89,966","84,180","87,872","100,012","99,416","89,175","91,428","89,995","81,357","81,460","87,654","106,942","121,524","124,319","133,280","167,440","181,264","149,993","145,538","163,509","153,542","174,636","187,650","165,871"
Mongolia,156,166,174,194,215,243,259,288,323,356,402,464,521,558,597,634,688,710,752,794,787,726,665,654,679,730,691,613,560,519,550,608,663,749,925,"1,158","1,547","1,894","2,479","1,991","2,650","3,773","4,377","4,401","4,202","3,973"
Montenegro,,,,,,,,,,,,,,,,,,,,,"3,491","2,849","2,400","1,325","1,364","1,958","1,410","1,369","1,394","1,361","1,611","1,902","2,100","2,793","3,392","3,686","4,395","5,970","7,341","6,714","6,655","7,285","6,552","7,147","7,337","6,424"
Montserrat,670,774,894,993,"1,083","1,221","1,064","1,168","1,331","1,608","2,376","2,810","3,136","3,369","3,638","3,850","4,138","4,538","5,203","5,904","7,026","5,979","6,204","6,165","6,823","6,729","5,858","5,356","5,665","6,398","7,252","7,976","9,101","9,231","9,492","10,231","10,647","11,062","11,703","12,069","11,208","12,758","12,431","11,749","11,579","11,553"
Morocco,290,303,357,429,516,591,616,694,812,953,"1,101",872,859,758,678,669,862,932,"1,079","1,095","1,215","1,286","1,291","1,196","1,332","1,426","1,561","1,404","1,486","1,458","1,344","1,355","1,438","1,756","1,988","2,058","2,247","2,549","2,951","2,929","2,903","3,116","2,979","3,206","3,243","2,919"
Mozambique,391,425,466,536,547,552,490,482,489,500,480,452,463,422,471,439,453,265,226,244,264,238,165,165,163,162,215,251,281,298,275,254,260,281,333,366,382,419,500,461,418,525,593,605,623,529
Myanmar,99,99,90,114,133,120,130,130,142,159,171,168,168,170,171,172,127,123,111,118,124,125,139,149,161,174,186,197,127,140,153,158,213,202,207,239,275,360,507,641,801,"1,111","1,161","1,173","1,241","1,161"
Namibia,811,879,853,"1,049","1,244","1,291","1,209","1,314","1,482","1,792","2,500","2,220","1,994","2,061","1,674","1,338","1,460","1,784","1,873","1,825","1,893","1,939","2,135","2,090","2,319","2,425","2,344","2,368","2,150","2,087","2,059","1,837","1,717","2,490","3,236","3,513","3,815","4,196","4,011","4,124","5,143","5,540","5,680","5,418","5,349","4,674"
Nauru,"2,364","2,544","2,942","3,743","4,793","4,750","4,767","4,720","5,063","5,165","5,597","5,882","5,501","5,185","5,007","4,043","3,990","4,337","4,923","5,090","5,377","4,869","4,469","3,787","3,720","3,496","3,364","3,075","2,387","2,447","2,163","1,894","1,892","2,387","2,731","2,599","2,514","2,294","4,135","5,409","6,234","8,551","11,966","15,100","17,857","18,469"
Nepal,87,87,99,90,112,121,110,107,123,137,140,156,161,156,157,164,165,180,198,193,202,180,190,186,208,212,215,232,214,231,241,244,241,260,289,324,349,420,444,479,606,679,652,655,701,725
Netherlands,"2,906","3,359","4,079","5,337","6,253","7,300","7,900","9,158","11,122","12,654","13,661","11,426","10,976","10,574","9,868","9,813","13,628","16,530","17,561","17,212","21,070","21,527","23,687","22,904","24,388","28,899","28,668","26,361","27,509","27,960","25,972","26,687","28,949","35,370","40,026","41,546","44,303","50,986","56,675","51,757","50,289","53,551","49,491","51,560","52,148","44,332"
New Caledonia,"3,602","3,998","4,465","4,569","5,192","6,369","6,059","6,218","6,165","7,505","8,335","6,758","6,171","5,530","5,257","5,553","7,676","9,348","12,793","13,232","15,008","15,404","16,584","15,632","16,436","19,178","18,643","17,921","17,616","17,703","16,246","15,403","17,099","22,151","26,146","27,270","30,019","37,346","37,725","35,693","37,976","41,392","37,160","38,437","39,398","33,966"
New Zealand,"2,304","2,764","3,295","4,249","4,687","4,484","4,473","4,870","5,902","6,697","7,425","7,956","7,866","7,739","7,384","7,376","9,207","11,617","13,886","13,283","13,374","12,722","12,008","12,805","14,784","17,185","18,695","18,470","15,113","15,696","14,111","13,850","15,781","20,872","25,117","27,746","26,653","32,402","31,101","28,029","33,551","38,248","39,815","42,448","44,207","38,294"
Nicaragua,477,492,509,613,826,838,944,"1,110","1,029",715,836,937,960,"1,016","1,010",975,962,958,849,849,861,865,898,937,854,896,916,917,952,981,"1,016","1,049","1,010","1,016","1,091","1,175","1,245","1,351","1,518","1,479","1,523","1,680","1,776","1,829","1,960","2,087"
Niger,95,99,121,125,140,173,199,228,300,382,452,384,340,296,233,224,282,317,320,290,333,306,308,273,163,191,197,175,193,183,154,162,178,211,223,250,261,295,358,344,351,378,394,418,431,359
Nigeria,426,483,574,643,"1,015","1,256","1,489","1,681","1,819","2,137","2,693","2,424","2,321","2,278","2,204","2,131","1,050",631,738,650,715,652,577,549,445,452,468,477,484,481,607,563,736,821,"1,038","1,293","1,632","1,819","2,214","1,756","2,315","2,529","2,740","2,980","3,203","2,714"
Norway,"3,306","3,735","4,414","5,691","6,813","8,207","8,929","10,270","11,470","13,056","15,784","15,530","15,251","14,957","15,012","15,769","18,898","22,536","24,263","24,324","28,250","28,592","30,530","27,979","29,331","34,871","37,282","36,564","34,721","36,334","38,141","38,540","43,070","50,154","57,603","66,760","74,012","84,995","96,811","79,990","87,611","100,558","101,568","102,833","96,803","74,186"
